detection,reset_cadence,run_index,seed,total_interactions,accepted_interactions,avg_toxicity,avg_quality_gap,total_welfare,welfare_per_epoch,n_agents,n_frozen,avg_reputation,avg_payoff,min_payoff,max_payoff,honest_avg_payoff,opportunistic_avg_payoff,deceptive_avg_payoff,adversarial_avg_payoff,separation_quality,infiltration_rate,welfare_delta,attack_displacement,pool_avg_quality_truthful,pool_avg_quality_fair,pool_avg_quality_default,pool_welfare_truthful,pool_welfare_fair,pool_welfare_default,peak_infection,mean_infection,final_infection,mean_tier3_poisoning,final_tier3_poisoning,mean_cache_corruption,contagion_writes
off,10,5,47,3019,3019,0.2887223624347694,0.0,3075.178833973906,76.87947084934765,10,0,63.8082009992324,217.37767629450929,165.30554749400704,376.6404312788464,179.707560629469,304.01147151144824,222.0821580079698,284.7188848244303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36597662591314933,0.23046544646976935,0.19779621821587648,0.4131128957430456,0.5434782608695652,0.24655016283596004,169
off,10,6,48,3015,3015,0.29069388928124423,0.0,3051.4499894467117,76.28624973616779,10,0,63.14558792490313,216.00264383160857,168.80362844327308,381.9205724114108,177.2240953492408,307.69090215679495,214.0772032029502,287.4568804304478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6135378497198375,0.3321455761022754,0.19078111554060503,0.45044953319022785,0.5,0.34770415976782076,251
off,10,7,49,3001,3001,0.2918316909200892,0.0,3026.0627518556194,75.65156879639048,10,0,62.52243387810633,215.22060749948736,154.1097347056111,396.15717579951826,171.36185793879028,306.34727666852484,214.6728864521888,301.5073821207091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5154097433310014,0.3450093002791909,0.4178185141425731,0.4708740312932944,0.625,0.3850956888398839,265
off,10,8,50,2980,2980,0.2904402989923347,0.0,3018.486008711669,75.46215021779173,10,0,62.484882609166604,213.77736620668583,153.8344153629425,388.8787672997168,173.7574285483898,303.31329451873466,207.78664458868462,292.0645758345501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44639092802194374,0.2444215316990214,0.29695310518306683,0.42646851187125795,0.6052631578947368,0.27294301458775144,186
off,10,9,51,2999,2999,0.29077472015681394,0.0,3034.5642052508433,75.86410513127109,10,0,62.79012368384821,213.96819145527166,152.50980806141118,398.57772877793917,171.61528005327241,293.06345341488674,215.2104697240984,300.8581555470484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142380491242216,0.28038965830335905,0.2887466189375237,0.4190552492410885,0.5555555555555556,0.3070456547236733,222
on,0,0,42,3012,3012,0.2874879387740402,0.0,2710.7257386344413,67.76814346586103,10,0,26.102521724542264,180.22455708166905,36.10302310484162,319.6041188351287,172.13074455674322,310.63832443277124,36.10302310484162,211.35987796930925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034827302631578946,0.005125366429736202,8.283356842959784e-05,0.0509109212828636,0.13157894736842105,0.005131578947368421,6
on,0,1,43,2992,2992,0.2859670658225138,0.0,2673.0315414192423,66.82578853548105,10,0,22.941515924095228,175.00387021001615,28.63921666382675,304.82209026439125,171.72801001613325,293.4685354606866,28.63921666382675,198.78144493942438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007488569396464133,0.06666666666666667,0.0,0
on,0,2,44,2980,2980,0.2866049453319488,0.0,2658.846701613083,66.47116754032707,10,0,23.00255004744347,173.7499430057798,38.60939121303644,302.7322107900611,170.62091579688357,299.37075059366805,38.60939121303644,187.89689673489613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10928055612664471,0.029699256439950323,0.00016001159988260474,0.1400890103436484,0.21052631578947367,0.029711257309941518,27
on,0,3,45,3000,3000,0.287063610390654,0.0,2690.0161156880695,67.25040289220173,10,0,24.681062226119572,176.03730619101643,28.533180172918538,306.68495668540686,172.80623883216603,291.6077753325725,28.533180172918538,201.69733670583858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0341796875,0.0049954272532924,6.0969956101331046e-05,0.06739504019486917,0.16279069767441862,0.005,3
on,0,4,46,2986,2986,0.2889771924824777,0.0,2665.7726042203226,66.64431510550807,10,0,24.77801777118585,177.08216913301118,36.733583345249876,314.9597596649365,172.2010052820739,293.97503541943917,36.733583345249876,203.45352043648964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18688110654093643,0.06637481093161615,0.002490849576584162,0.11889966455364318,0.10256410256410256,0.06656162464985994,53
