mode,detection,write_pref,side_defender_error,run_index,seed,total_interactions,accepted_interactions,avg_toxicity,avg_quality_gap,total_welfare,welfare_per_epoch,n_agents,n_frozen,avg_reputation,avg_payoff,min_payoff,max_payoff,honest_avg_payoff,opportunistic_avg_payoff,deceptive_avg_payoff,adversarial_avg_payoff,separation_quality,infiltration_rate,welfare_delta,attack_displacement,pool_avg_quality_truthful,pool_avg_quality_fair,pool_avg_quality_default,pool_welfare_truthful,pool_welfare_fair,pool_welfare_default,peak_ungoverned,late_ungoverned,final_discovered,mean_side_corruption,final_infection,side_writes,side_poisoned_writes,side_teardowns,side_sweeps,side_swept_entries,late_substrate_gap,final_side_entries,final_evaders,final_side_value,final_host_users
revocation,0.05,0.7,0.0,4,46,2283,2283,0.2839883840357712,0.0,2351.328239055832,58.7832059763958,10,0,49.01259526634792,183.28595891174106,137.0814097965371,306.51842889888184,151.15646384008792,256.51969568093926,194.87924372968558,237.2609333331292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.6727482887030011,1.0,0.3431347696421226,0.24369680388163525,708,349,6,0,0,-0.06277777777777778,491,0.0,0.0,"[10, 0, 0, 0]"
revocation,0.05,0.7,0.0,5,47,2358,2358,0.28505232696054716,0.0,2426.7949999116536,60.66987499779134,10,0,50.57044117387208,187.76187559142025,135.97031236736086,361.5296012334896,157.80735081402096,204.35036664428267,193.936133307023,266.24407553938545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7608695652173914,0.6792205636685041,1.0,0.24833333333333335,0.23616696867088635,690,275,4,0,0,-0.065,624,0.0,0.0,"[10, 0, 0, 0]"
revocation,0.05,0.7,0.0,6,48,2293,2293,0.2819681669753827,0.0,2380.3520521310306,59.50880130327577,10,0,49.778001533265524,184.71701192241977,138.3347743889345,329.85809728311744,155.86783515694628,227.8186101060452,195.51505117494776,244.31472350076342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6756151978238882,1.0,0.42410444326205193,0.2314778794668597,744,370,3,0,0,-0.065,613,0.0,0.0,"[10, 0, 0, 0]"
revocation,0.05,0.7,0.0,7,49,2720,2720,0.28522282544083855,0.0,2800.985636465855,70.02464091164637,10,0,58.381930484289754,203.15618731289482,156.25299331959806,301.7478509517344,171.84860623988342,297.61179777489343,198.95209942761844,251.95316924356797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.24500866121583148,0.9,0.3631440781440781,0.13179355829317294,301,157,10,0,0,-0.04251746031746032,87,0.0,0.0,"[0, 9, 0, 0]"
revocation,0.05,0.7,0.0,8,50,2479,2479,0.28228330982947214,0.0,2575.0361929222354,64.37590482305589,10,0,53.86282920359508,194.4197688486615,147.9126138761696,297.59260917275554,166.77408952301124,268.82665337685546,179.8526584074089,247.43691978214162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8444444444444444,0.696719418562069,1.0,0.35483699052313183,0.1848414964952782,570,267,4,0,0,-0.064,493,0.0,0.0,"[9, 1, 0, 0]"
revocation,0.05,0.7,0.0,9,51,1995,1995,0.2773834195890431,0.0,2107.073339005104,52.6768334751276,10,0,44.36980408838536,168.6145712240552,136.82136373180086,209.55654691338347,150.63421349718462,209.55654691338347,180.7337328597594,196.02507574215076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.775,0.6924356932687963,1.0,0.4769843751759512,0.23206291315222805,976,501,2,0,0,-0.065,864,0.0,0.0,"[10, 0, 0, 0]"
revocation,0.05,0.7,0.5,0,42,1922,1922,0.2820203972015689,0.0,1997.0861128371514,49.92715282092878,10,0,41.779003318739704,162.16879070407347,125.4275732743156,233.63056412077992,141.94584459388165,180.8183997814166,176.52588490076002,206.33427739763408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.803921568627451,0.679405179847253,1.0,0.435214148877942,0.32784890700206754,1041,577,0,0,0,-0.0625,1013,0.0,0.0,"[1, 9, 0, 0]"
revocation,0.05,0.7,0.5,1,43,2136,2136,0.2810690318103202,0.0,2227.9591456270314,55.69897864067578,10,0,46.681151341971436,176.14036453463868,127.05874064684964,327.03564741054146,148.9874906278977,190.65652449622598,197.97058007304224,239.4257985048662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.696218820861678,1.0,0.3797963591914459,0.1980914019595433,853,394,2,0,0,-0.015000000000000003,733,0.0,0.0,"[3, 0, 0, 7]"
revocation,0.05,0.7,0.5,2,44,1895,1895,0.27693539438570075,0.0,2005.8768373132477,50.14692093283119,10,0,42.275789332742534,163.3239803048456,133.7522377328961,223.5696435524561,144.17461335749462,204.29734295471468,195.71241727321603,184.09118133777883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84375,0.7104682511597404,1.0,0.4588839285714286,0.27427325316126433,1079,553,0,0,0,0.0,1044,0.0,0.0,"[0, 10, 0, 0]"
revocation,0.05,0.7,0.5,3,45,1890,1890,0.27864603348347294,0.0,1990.1123823372825,49.75280955843206,10,0,41.85624653933179,160.97886200363462,130.2427581042157,219.16101994201173,142.89620602695106,194.72053632714022,170.19593192102417,193.74745781323765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8372093023255814,0.7332290867846312,1.0,0.49333333333333335,0.285388478011547,1085,574,0,0,0,0.0,1059,0.0,0.0,"[10, 0, 0, 0]"
