mode,detection,write_pref,side_host_attention,seed,epoch,reset,mean_infection,max_infection,cache_corruption,tier3_poisoning,promotion_accuracy,side_teardown,side_active,side_teardown_count,side_sweep_count,discovered_fraction,side_writes,sanctioned_writes,ungoverned_fraction,side_cache_corruption,side_entries,evader_fraction,population_attention,chosen_attention,substrate_gap,mean_side_value
deletion,0.065,0.7,,44,21,False,0.01988250251012406,0.01998626675485387,0.0,0.6310679611650486,0.3576158940397351,True,False,9,0,1.0,24,15,0.6153846153846154,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,44,22,False,0.014911876882593045,0.014989700066140402,0.0,0.6415094339622641,0.35064935064935066,False,True,9,0,1.0,0,42,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,44,23,False,0.011183907661944784,0.011242275049605302,0.0,0.6513761467889908,0.3416149068322981,True,False,10,0,1.0,27,13,0.675,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,44,24,False,0.008387930746458588,0.008431706287203976,0.0,0.646551724137931,0.3392857142857143,False,True,10,0,1.0,0,37,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,44,25,False,0.006290948059843941,0.006323779715402982,0.0,0.6528925619834711,0.33714285714285713,True,False,11,0,1.0,31,12,0.7209302325581395,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,44,26,False,0.004718211044882957,0.004742834786552237,0.0,0.6612903225806451,0.3241758241758242,False,True,11,0,1.0,0,40,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,44,27,False,0.0035386582836622166,0.0035571260899141775,0.0,0.6614173228346457,0.3225806451612903,True,False,12,0,1.0,35,10,0.7777777777777778,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,44,28,False,0.002653993712746663,0.002667844567435633,0.0,0.6515151515151515,0.33505154639175255,False,True,12,0,1.0,0,38,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,44,29,False,0.0019904952845599968,0.002000883425576725,0.0,0.6408450704225352,0.33980582524271846,True,False,13,0,1.0,30,6,0.8333333333333334,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,44,30,False,0.001492871463419998,0.0015006625691825438,0.0,0.6388888888888888,0.33649289099526064,False,True,13,0,1.0,0,47,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,44,31,False,0.0011196535975649985,0.0011254969268869079,0.0,0.6418918918918919,0.3317972350230415,True,False,14,0,1.0,29,16,0.6444444444444445,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,44,32,False,0.0008397401981737487,0.000844122695165181,0.0,0.6428571428571429,0.3333333333333333,False,True,14,0,1.0,0,33,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,44,33,False,0.0006298051486303116,0.0006330920213738858,0.0,0.6380368098159509,0.33617021276595743,True,False,15,0,1.0,28,8,0.7777777777777778,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,44,34,False,0.00047235386147273376,0.0004748190160304143,0.0,0.6428571428571429,0.3347107438016529,False,True,15,0,1.0,0,38,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,44,35,False,0.00035426539610455024,0.0003561142620228107,0.0,0.6342857142857142,0.344,True,False,16,0,1.0,24,11,0.6857142857142857,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,44,36,False,0.0002656990470784127,0.000267085696517108,0.0,0.6256983240223464,0.34375,False,True,16,0,1.0,0,42,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,44,37,False,0.00019927428530880953,0.000200314272387831,0.0,0.6276595744680851,0.34210526315789475,False,True,16,0,1.0,25,9,0.7352941176470589,0.35,25,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,44,38,False,0.04389945571398161,0.04390023570429087,0.0,0.6185567010309279,0.3492647058823529,True,False,17,0,1.0,29,11,0.725,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,44,39,False,0.03292459178548621,0.03292517677821816,0.0,0.6180904522613065,0.35251798561151076,False,True,17,0,1.0,0,48,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,45,0,False,0.0,0.0,0.0,0.0,1.0,False,True,0,0,0.2,0,0,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,45,1,False,0.0,0.0,0.35294117647058826,0.35294117647058826,0.8064516129032258,True,False,1,0,0.3,5,39,0.11363636363636363,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,45,2,False,0.08823529411764706,0.08823529411764706,0.35294117647058826,0.35294117647058826,0.7575757575757576,False,True,1,0,0.4,0,49,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,45,3,False,0.1544117647058824,0.15441176470588236,0.4,0.42857142857142855,0.6842105263157895,True,False,2,0,0.5,6,36,0.14285714285714285,0.0,0,0.0,0.065,0.065,0.0,0.0
