mode,detection,write_pref,side_host_attention,side_routing,side_task_overlap,side_deadline_pressure,run_index,seed,total_interactions,accepted_interactions,avg_toxicity,avg_quality_gap,total_welfare,welfare_per_epoch,n_agents,n_frozen,avg_reputation,avg_payoff,min_payoff,max_payoff,honest_avg_payoff,opportunistic_avg_payoff,deceptive_avg_payoff,adversarial_avg_payoff,separation_quality,infiltration_rate,welfare_delta,attack_displacement,pool_avg_quality_truthful,pool_avg_quality_fair,pool_avg_quality_default,pool_welfare_truthful,pool_welfare_fair,pool_welfare_default,peak_ungoverned,late_ungoverned,final_discovered,mean_side_corruption,final_infection,side_writes,side_poisoned_writes,side_teardowns,side_sweeps,side_swept_entries,late_substrate_gap,final_side_entries,final_evaders,final_side_value
deletion,0.0,0.7,,overlap,0.3,1.0,5,47,2574,2574,0.28721081843595087,0.0,2633.421917946,65.83554794865,10,0,54.74182111605874,196.58040185071394,127.54457631122497,336.8403818715152,155.21112620681018,298.9897605043374,203.12533232639908,266.2110842177709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5681818181818182,0.3248466493801151,1.0,0.45625,0.24730677701554651,431,204,0,0,0,0.0,418,0.0,0.2901511314517754
deletion,0.0,0.7,,overlap,0.3,1.0,6,48,2629,2629,0.2873261080516124,0.0,2689.3765870390466,67.23441467597617,10,0,55.90225255997184,198.3427630067231,144.49629070392473,362.82615631890184,153.3412247774061,316.9032639793034,212.3043596538068,267.0863288848421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5681818181818182,0.3203899632192315,1.0,0.481407444894287,0.18153053545946266,362,191,0,0,0,0.0,351,0.0,0.34892146649072264
deletion,0.0,0.7,,overlap,0.3,1.0,7,49,2593,2593,0.286525123292482,0.0,2661.3573689922146,66.53393422480536,10,0,55.39580497035915,197.54289388558735,146.97157500549756,332.96916920681724,163.30890439493078,272.7750911358316,202.09772096893505,260.351350190761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48717948717948717,0.280578375116311,1.0,0.4575,0.20842867247594826,437,222,0,0,0,0.0,423,0.0,0.322981028619094
deletion,0.0,0.7,,overlap,0.3,1.0,8,50,2576,2576,0.28674102777897714,0.0,2641.5658138168124,66.03914534542031,10,0,54.96370040637673,195.84883586461348,139.3209659523622,349.64856478190603,156.5141283351189,265.16215252816795,200.1873370348829,277.02704953618525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5641025641025641,0.32603744368201737,1.0,0.458125,0.27459120036874723,415,208,0,0,0,0.0,402,0.0,0.32353774050258494
deletion,0.0,0.7,,overlap,0.3,1.0,9,51,2534,2534,0.28597528346293155,0.0,2605.3302413423266,65.13325603355817,10,0,54.26853651006834,193.15194753196386,143.36222641840058,312.07419107147194,162.12678277753642,250.16910005674035,201.25946129487258,253.66510865140359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.3250929873119693,1.0,0.46845238095238095,0.246016747168284,442,229,0,0,0,0.0,431,0.0,0.3941294752725991
deletion,0.0,0.7,,overlap,1.0,0.5,0,42,2312,2312,0.2878779575506301,0.0,2361.231599351418,59.03078998378545,10,0,49.0479882162181,179.4157974097438,128.27575602591276,322.0877671162176,142.50415762758652,244.0753603332674,195.03830939961486,250.00967929951815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6486486486486487,0.5300554410565199,1.0,0.46875,0.2178383128077736,673,375,0,0,0,0.0,648,0.0,0.9999998105906052
deletion,0.0,0.7,,overlap,1.0,0.5,1,43,2465,2465,0.2818017861662885,0.0,2568.326755738206,64.20816889345515,10,0,53.78902222759422,193.70873943074676,146.41230184817852,299.21586886841544,167.04994119530957,255.51813041965298,200.73367844445843,239.2679691357494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5813953488372093,0.5349761098581295,1.0,0.40028594771241827,0.19802746616054637,567,289,0,0,0,0.0,541,0.0,0.9999999936328846
deletion,0.0,0.7,,overlap,1.0,0.5,2,44,2434,2434,0.28290697489803784,0.0,2524.732304731111,63.118307618277775,10,0,52.780361903856125,191.55382543541623,147.62938324373326,299.73747452717913,160.11296387919165,276.5819327252569,184.3560586095173,246.9612398721191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.44893264051212006,1.0,0.4258333333333334,0.27453218781338457,568,305,0,0,0,0.0,549,0.0,0.9999999994616482
deletion,0.0,0.7,,overlap,1.0,0.5,3,45,2278,2278,0.2828385936146535,0.0,2368.7104291220817,59.21776072805204,10,0,49.567953797708206,181.82687408810924,145.68331614777676,290.56846970480103,155.05743505739682,232.96281917335028,195.29144608395194,229.83493263970453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6585365853658537,0.48860261906912006,1.0,0.49124999999999996,0.2180089666094814,735,383,0,0,0,0.0,721,0.0,0.9999999923565269
deletion,0.0,0.7,,overlap,1.0,0.5,4,46,2299,2299,0.2868147740295305,0.0,2359.5516212653442,58.988790531633605,10,0,49.11328297839241,180.0655682734244,135.17400439792937,300.2098994310287,144.85062856055882,252.93445085819891,194.64917456967322,241.9841429715094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6829268292682927,0.503135694410802,1.0,0.590046992481203,0.26425837103421596,688,396,0,0,0,0.0,665,0.0,0.9999999923550783
deletion,0.0,0.7,,overlap,1.0,0.5,5,47,2329,2329,0.2854577448722956,0.0,2396.2283272140844,59.90570818035211,10,0,49.927303741590634,182.54797617499213,134.86707513120578,304.95263437124515,149.1920196793173,232.5552009837607,196.79154654955536,250.49044807035062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6857142857142857,0.5165779234741732,1.0,0.45166666666666666,0.2710927500106312,657,357,0,0,0,0.0,633,0.0,0.9999999995273307
deletion,0.0,0.7,,overlap,1.0,0.5,6,48,2325,2325,0.2849722160697845,0.0,2396.0843764587735,59.90210941146934,10,0,49.95836401349326,184.12473538024884,148.25453764066654,318.36875623707687,155.76626418191603,217.63380207317724,201.15601748249637,243.92997457765932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6744186046511628,0.5185949670141204,1.0,0.49000000000000005,0.23249597260013427,688,349,0,0,0,0.0,675,0.0,0.9999999991006792
deletion,0.0,0.7,,overlap,1.0,0.5,7,49,2422,2422,0.28392214410012007,0.0,2504.1867515340414,62.604668788351034,10,0,52.28196328041291,189.35344665582494,144.59438949682027,315.3495643312503,151.8423875927878,299.0916170248827,202.82272677753238,240.2828985995539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5897435897435898,0.47532851776295615,1.0,0.4945833333333334,0.21077668972245608,583,337,0,0,0,0.0,568,0.0,0.9999999991007522
deletion,0.0,0.7,,overlap,1.0,0.5,8,50,2458,2458,0.28419202513621256,0.0,2535.876176193988,63.39690440484971,10,0,52.8963581233525,191.71403020905723,137.74892634595994,328.99862698774257,156.5659402842936,272.9038884587219,189.93513025829643,257.4528208338962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6756756756756757,0.5077786271271412,1.0,0.355328947368421,0.246246081516091,557,283,0,0,0,0.0,536,0.0,0.9999997996773228
deletion,0.0,0.7,,overlap,1.0,0.5,9,51,2333,2333,0.28302186006012237,0.0,2420.183882700761,60.50459706751902,10,0,50.59658478531643,185.22087894443013,137.30055621041083,299.22421035869917,160.5509363277929,208.41572863959482,196.0708787683468,242.2082820348012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6571428571428571,0.5319140855155385,1.0,0.46720588235294114,0.2744875200476376,699,351,0,0,0,0.0,680,0.0,0.9999999962484338
deletion,0.0,0.7,,overlap,1.0,1.0,0,42,1382,1382,0.26912668715585486,0.0,1479.3029653110782,36.98257413277695,10,0,31.314793097384687,130.69747123496205,69.94018797650446,475.5311813390082,93.39193360835846,475.5311813390082,69.94018797650446,100.57587069197842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.51875,0.4758764903437272,1509,929,0,0,0,0.0,1454,0.0,0.999999999999325
deletion,0.0,0.7,,overlap,1.0,1.0,1,43,1718,1718,0.2800478403423762,0.0,1779.329155719358,44.483228892983945,10,0,37.174386932922296,149.48863224282073,83.91266577023808,305.81584846666226,109.96061917872584,83.91266577023808,148.35819186688445,301.42587485936485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.34500000000000003,0.25753566106373843,1246,566,0,0,0,0.0,1191,0.0,0.9999999999911227
deletion,0.0,0.7,,overlap,1.0,1.0,2,44,1327,1327,0.2694506050297166,0.0,1416.6247848928924,35.41561962232231,10,0,29.95661132037924,127.12510442870249,74.97795238837973,267.22297341629815,121.58664846680529,170.76148207986276,141.9944552505831,114.48760807787355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.4497823886639676,0.2438978023732324,1520,815,0,0,0,0.0,1472,0.0,0.9999999999999535
