mode,detection,write_pref,side_host_attention,side_teardown_policy,side_evasion_rate,run_index,seed,total_interactions,accepted_interactions,avg_toxicity,avg_quality_gap,total_welfare,welfare_per_epoch,n_agents,n_frozen,avg_reputation,avg_payoff,min_payoff,max_payoff,honest_avg_payoff,opportunistic_avg_payoff,deceptive_avg_payoff,adversarial_avg_payoff,separation_quality,infiltration_rate,welfare_delta,attack_displacement,pool_avg_quality_truthful,pool_avg_quality_fair,pool_avg_quality_default,pool_welfare_truthful,pool_welfare_fair,pool_welfare_default,peak_ungoverned,late_ungoverned,final_discovered,mean_side_corruption,final_infection,side_writes,side_poisoned_writes,side_teardowns,side_sweeps,side_swept_entries,late_substrate_gap,final_side_entries,final_evaders,final_side_value
deletion,0.05,0.7,,ordered,0.5,2,44,1977,1977,0.2765826671143995,0.0,2092.549432246295,52.313735806157375,10,0,44.10145388959686,167.4551727199005,138.23390795332142,242.31784555685738,148.56999384061643,242.31784555685738,163.13398649193698,188.83996605325592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825,0.712279292175866,1.0,0.49952020202020203,0.2692973086303587,997,556,0,27,52,0.0,908,1.0,0.0
deletion,0.05,0.7,,ordered,0.5,3,45,1889,1889,0.2780453514671486,0.0,1992.9227728226472,49.82306932056618,10,0,41.947728612430765,163.27602793638692,121.44831779164828,225.39850003173692,139.9454581368458,225.39850003173692,181.1797516331354,193.254639438961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130434782608695,0.6959666299831464,1.0,0.4968233082706767,0.27241506365686263,1122,599,0,27,37,0.0,1064,1.0,0.0
deletion,0.05,0.7,,ordered,0.5,4,46,2018,2018,0.28111646964514103,0.0,2104.584746623205,52.614618665580124,10,0,44.09366901832951,170.72466329207393,125.61205851233709,262.9724318194543,145.82033716700187,215.7598387362801,183.8226783118622,216.37104643529295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825,0.6677661176278978,1.0,0.4175,0.2351195624859954,996,493,0,28,47,0.0,927,1.0,0.0
deletion,0.05,0.7,,ordered,0.5,5,47,1962,1962,0.2797684282578799,0.0,2057.6344565159125,51.44086141289781,10,0,43.20689577987972,166.31891495103437,124.50366142639697,213.19794550659083,145.48462295581416,173.39081816861545,213.19794550659083,201.84632405012627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8372093023255814,0.7032302947550825,1.0,0.5253819444444445,0.28087672772869204,1022,534,0,29,38,0.0,949,1.0,0.0
deletion,0.05,0.7,,ordered,0.5,6,48,2195,2195,0.2797660409122544,0.0,2290.2447350751495,57.25611837687874,10,0,47.99249220809255,179.53282164355056,133.56286749990178,267.3021859299206,162.72433063374058,208.42235029187464,183.2166855834217,213.6715983788829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.6941013112648637,1.0,0.4180555555555555,0.2636804583649242,835,454,0,28,46,0.0,762,1.0,0.0
deletion,0.05,0.7,,ordered,0.5,7,49,2059,2059,0.27927957011070687,0.0,2157.34164473371,53.933541118342745,10,0,45.283577786285534,169.91738070461483,125.43718054193499,221.99276508922432,151.7628173846281,210.79235082712634,165.54438976229105,206.13008107448104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8085106382978723,0.7124828631781565,1.0,0.567514619883041,0.26254568374797016,933,503,0,22,85,0.0,822,1.0,0.0
deletion,0.05,0.7,,ordered,0.5,8,50,1982,1982,0.2774679756597926,0.0,2093.5044676471953,52.33761169117988,10,0,44.085425519035105,168.91521368775904,125.10653618074006,265.8093637054518,141.7150405211164,265.8093637054518,171.0277437191143,201.01239316316293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.678743533302183,1.0,0.4866666666666667,0.26852494720648584,1010,546,0,28,60,0.0,923,1.0,0.0
deletion,0.05,0.7,,ordered,0.5,9,51,2102,2102,0.2766373158113154,0.0,2228.8302420581117,55.720756051452796,10,0,47.006771825238545,176.56903170699024,118.72012248409746,333.83012984683387,143.70085641316692,333.83012984683387,186.32002491058807,191.66751191673944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6903796113420894,1.0,0.5274107142857143,0.2315878877324611,893,484,0,24,35,0.0,833,1.0,0.0
deletion,0.05,0.7,,random,0.0,0,42,1920,1920,0.2822756120740463,0.0,1995.8862863510628,49.89715715877657,10,0,41.761361363266516,162.46720155022672,129.43969499863445,257.41016914131524,139.613520372023,184.26712568657834,173.13632834660643,214.79371961847218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8604651162790697,0.7020318021601165,1.0,0.44485294117647056,0.2442075300456505,1063,543,0,27,1009,0.0,27,0.0,0.0
deletion,0.05,0.7,,random,0.0,1,43,2006,2006,0.27925714734239093,0.0,2105.0952879670604,52.62738219917651,10,0,44.2145672931488,168.36639140561084,127.53160669781823,254.4318165001191,142.65759550901066,235.9037979001156,184.64607397218606,203.58423456487142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8863636363636364,0.6902693598655175,1.0,0.4658333333333333,0.25691459322675464,981,511,0,26,908,0.0,36,0.0,0.0
deletion,0.05,0.7,,random,0.0,2,44,2057,2057,0.279093949223984,0.0,2158.2401135626087,53.95600283906522,10,0,45.32765039890022,171.02138004980299,134.20567072062923,273.19115797170593,147.57439907426692,227.87581673850062,162.08899498631564,217.40129716380594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7567567567567568,0.6664056376861255,1.0,0.5119444444444444,0.2626149289956666,923,497,0,26,869,0.0,28,0.0,0.0
